people,mall,office,hospital,subway,car,liyon,you,name,location,dailyFlow,avoid
1.95,0,3,2,0,1.28,3.69,0,建邺区江东街道中青园附近,"        [118.7493381, 32.06530527]",44.66,0
1.95,0,2,1,0,1.28,3.69,0,建邺区江东街道金陵御沁园附近,"        [118.7471084, 32.068175]",44.66,0
3.48,1,5,1,1,1.37,3.80,0,鼓楼区凤凰街道新城市广场附近,"        [118.7477694, 32.06183736]",45.90,0
3.48,0,5,5,2,1.37,3.91,0,鼓楼区凤凰街道蔚蓝之都家园附近,"        [118.7689147, 32.04716289]",47.25,0
3.48,1,5,2,1,1.37,3.80,0,鼓楼区凤凰街道8号（石婆婆巷小区）附近,"        [118.7941945, 32.06220854]",45.90,0
3.18,1,5,4,2,1.37,3.71,0,鼓楼区华侨路街道虎踞路3840号小区附近,"        [118.770439, 32.05072915]",44.91,0
3.18,5,5,5,2,1.37,3.71,0,鼓楼区华侨路街道大地大厦附近,"        [118.7844257, 32.05325436]",44.91,1
3.18,5,5,5,2,1.37,3.71,0,鼓楼区华侨路街道德基广场-二期,"        [118.791176, 32.05086801]",44.91,0
3.18,5,5,5,2,1.37,3.71,0,鼓楼区华侨路街道乐灵发展大厦,"        [118.7844418, 32.05445532]",44.91,1
3.03,4,5,4,0,1.37,3.80,0,鼓楼区宁海路街道万豪国际大厦,"        [118.7766167, 32.07599903]",45.92,0
4.44,1,5,5,3,1.61,3.83,0,秦淮区朝天宫街道汉中门（地铁站）附近,"        [118.773343, 32.04771501]",46.36,0
4.44,1,5,5,4,1.61,3.83,0,秦淮区朝天宫街道兴宇大厦附近,"        [118.7727154, 32.04684742]",46.36,0
4.44,5,5,5,4,1.61,3.83,0,秦淮区朝天宫街道汉中门消防中队附近,"        [118.7740588, 32.04447896]",46.36,0
4.44,5,5,5,2,1.61,3.83,0,秦淮区朝天宫街道张公桥小区附近,"        [118.7770146, 32.0422637]",46.36,0
4.44,2,5,5,3,1.61,3.83,0,秦淮区朝天宫街道平安国际金融中心,"        [118.7757676, 32.04820562]",46.36,0
4.44,5,5,5,4,1.61,3.83,0,秦淮区朝天宫街道江苏省中医院-南院附近,"        [118.7791866, 32.04619628]",46.36,1
4.44,5,5,5,3,1.61,3.83,0,秦淮区朝天宫街道南京基督教大楼附近,"        [118.7818498, 32.04498649]",46.36,1
4.44,5,5,5,2,1.61,3.83,0,秦淮区朝天宫街道金鹰大厦附近,"        [118.7871854, 32.04758846]",46.36,0
4.44,5,5,5,3,1.61,3.83,0,秦淮区朝天宫街道江苏省中医院-北院附近,"        [118.7809923, 32.04781395]",46.36,1
4.44,5,5,5,2,1.61,3.83,0,秦淮区朝天宫街道俞家巷小区附近,"        [118.7868666, 32.0450803]",46.36,0
4.44,5,5,4,2,1.61,3.83,0,秦淮区朝天宫街道南京新街口王府大街亚朵酒店附近,"        [118.7838376, 32.0429591]",46.36,0
4.44,5,5,3,1,1.61,3.83,0,秦淮区朝天宫街道南京市商务局附近,"        [118.7853064, 32.03785492]",46.36,1
4.44,5,5,5,2,1.61,3.83,0,秦淮区朝天宫街道中国人民银行（江苏省分行）附近,"        [118.7875835, 32.03713155]",46.36,1
4.44,5,5,3,2,1.61,3.83,0,秦淮区朝天宫街道南京互联网金融中心附近,"        [118.790286, 32.03753505]",46.36,0
4.44,5,5,2,2,1.61,3.83,0,秦淮区朝天宫街道公房大厦附近,"        [118.790989, 32.04124868]",46.36,0
4.44,5,5,5,3,1.61,3.83,0,秦淮区朝天宫街道东方福来德附近,"        [118.7897745, 32.04687504]",46.36,0
4.44,5,5,5,3,1.61,3.83,0,秦淮区朝天宫街道大洋百货附近,"        [118.7898302, 32.04501534]",46.36,0
4.44,4,5,5,2,1.61,3.83,0,秦淮区朝天宫街道Huan Ya Plaza附近,"        [118.7777, 32.027086]",46.36,0
4.44,5,5,5,2,1.61,3.83,0,秦淮区朝天宫街道南京新百B座,"        [118.7921807, 32.04751202]",46.36,0
5.43,5,5,3,2,1.61,4.11,0,秦淮区洪武路街道福鑫国际大厦附近,"        [118.7932857, 32.03608395]",49.68,1
